K1:TMS-X_GR_QPDA1_PIT_OUT_DQ
K1:TMS-X_GR_QPDA1_YAW_OUT_DQ
K1:TMS-X_GR_QPDA1_SUM_OUT_DQ
K1:TMS-X_GR_QPDA2_PIT_OUT_DQ
K1:TMS-X_GR_QPDA2_YAW_OUT_DQ
K1:TMS-X_GR_QPDA2_SUM_OUT_DQ
K1:TMS-X_IR_QPDA1_PIT_OUT_DQ
K1:TMS-X_IR_QPDA1_YAW_OUT_DQ
K1:TMS-X_IR_QPDA1_SUM_OUT_DQ
K1:TMS-X_IR_QPDA2_PIT_OUT_DQ
K1:TMS-X_IR_QPDA2_YAW_OUT_DQ
K1:TMS-X_IR_QPDA2_SUM_OUT_DQ
K1:TMS-Y_GR_QPDA1_PIT_OUT_DQ
K1:TMS-Y_GR_QPDA1_YAW_OUT_DQ
K1:TMS-Y_GR_QPDA1_SUM_OUT_DQ
K1:TMS-Y_GR_QPDA2_PIT_OUT_DQ
K1:TMS-Y_GR_QPDA2_YAW_OUT_DQ
K1:TMS-Y_GR_QPDA2_SUM_OUT_DQ
K1:TMS-Y_IR_QPDA1_PIT_OUT_DQ
K1:TMS-Y_IR_QPDA1_YAW_OUT_DQ
K1:TMS-Y_IR_QPDA1_SUM_OUT_DQ
K1:TMS-Y_IR_QPDA2_PIT_OUT_DQ
K1:TMS-Y_IR_QPDA2_YAW_OUT_DQ
K1:TMS-Y_IR_QPDA2_SUM_OUT_DQ
