K1:PSL-IP_QPD1_DC_PIT_OUT_DQ
K1:PSL-IP_QPD1_DC_YAW_OUT_DQ
K1:PSL-IP_QPD2_DC_PIT_OUT_DQ
K1:PSL-IP_QPD2_DC_YAW_OUT_DQ
K1:PSL-PMC_MIXER_MON_OUT_DQ 
K1:PSL-PMC_SLOW_MON_OUT_DQ
K1:PSL-PMC_TRANS_DC_OUT_DQ
