K1:ASC-POP_FORWARD_QPDA1_DC_PIT_OUT_DQ
K1:ASC-POP_FORWARD_QPDA1_DC_YAW_OUT_DQ
K1:ASC-POP_FORWARD_QPDA1_DC_SUM_OUT_DQ
K1:ASC-POP_FORWARD_QPDA2_DC_PIT_OUT_DQ
K1:ASC-POP_FORWARD_QPDA2_DC_YAW_OUT_DQ
K1:ASC-POP_FORWARD_QPDA2_DC_SUM_OUT_DQ
K1:ASC-AS_QPDA1_DC_PIT_OUT_DQ
K1:ASC-AS_QPDA1_DC_SUM_OUT_DQ
K1:ASC-AS_QPDA1_DC_YAW_OUT_DQ
K1:ASC-AS_QPDA1_RF17_I_PIT_OUT_DQ
K1:ASC-AS_QPDA1_RF17_I_YAW_OUT_DQ
K1:ASC-AS_QPDA1_RF17_Q_PIT_OUT_DQ
K1:ASC-AS_QPDA1_RF17_Q_YAW_OUT_DQ
K1:ASC-AS_QPDA1_RF28_I_PIT_OUT_DQ
K1:ASC-AS_QPDA1_RF28_I_YAW_OUT_DQ
K1:ASC-AS_QPDA1_RF28_Q_PIT_OUT_DQ
K1:ASC-AS_QPDA1_RF28_Q_YAW_OUT_DQ
K1:ASC-AS_QPDA2_DC_PIT_OUT_DQ
K1:ASC-AS_QPDA2_DC_SUM_OUT_DQ
K1:ASC-AS_QPDA2_DC_YAW_OUT_DQ
K1:ASC-AS_QPDA2_RF17_I_PIT_OUT_DQ
K1:ASC-AS_QPDA2_RF17_I_YAW_OUT_DQ
K1:ASC-AS_QPDA2_RF17_Q_PIT_OUT_DQ
K1:ASC-AS_QPDA2_RF17_Q_YAW_OUT_DQ
K1:ASC-AS_QPDA2_RF28_I_PIT_OUT_DQ
K1:ASC-AS_QPDA2_RF28_I_YAW_OUT_DQ
K1:ASC-AS_QPDA2_RF28_Q_PIT_OUT_DQ
K1:ASC-AS_QPDA2_RF28_Q_YAW_OUT_DQ
K1:ASC-OMC_REFL_QPDA1_DC_PIT_OUT_DQ
K1:ASC-OMC_REFL_QPDA1_DC_YAW_OUT_DQ
K1:ASC-OMC_REFL_QPDA2_DC_PIT_OUT_DQ
K1:ASC-OMC_REFL_QPDA2_DC_YAW_OUT_DQ
K1:ASC-POP_QPDA1_DC_PIT_OUT_DQ
K1:ASC-POP_QPDA1_DC_SUM_OUT_DQ
K1:ASC-POP_QPDA1_DC_YAW_OUT_DQ
