K1:OMC-LSC_ERR_IN1_DQ
K1:OMC-TRANS_DC_A_OUT_DQ
K1:OMC-TRANS_DC_B_OUT_DQ
K1:OMC-TRANS_DC_SUM_OUT_DQ
