K1:PEM-MIC_OMC_BOOTH_OMC_Z_OUT_DQ
K1:PEM-MIC_OMC_TABLE_AS_Z_OUT_DQ
K1:PEM-SEIS_BS_GND_X_OUT_DQ
K1:PEM-SEIS_BS_GND_Y_OUT_DQ
K1:PEM-SEIS_BS_GND_Z_OUT_DQ
K1:PEM-ACC_OMC_CHAMBER_OMCLEG_Z_OUT_DQ
